==============================================
 Frequencies [cm^-1]     Coefficients [cm^-1]
==============================================
-5.879939969985e+02      8.178882412103e+01
-5.687843921961e+02      7.466384806749e+01
-5.411705852926e+02      9.270803096829e+01
-5.099549774887e+02      7.095512056579e+01
-4.751375687844e+02      6.864583590639e+01
-4.427213606803e+02      5.792669757875e+01
-4.055027513757e+02      5.902018219376e+01
-3.610805402701e+02      5.884942764975e+01
-3.190595297649e+02      6.238239860483e+01
-2.710355177589e+02      7.037378276232e+01
-2.350175087544e+02      1.117305961646e+02
-2.122061030515e+02      9.869653937127e+01
-1.917958979490e+02      1.224702440457e+02
-1.533766883442e+02      1.106263324833e+02
-1.137568784392e+02      1.636821549012e+02
-9.334667333667e+01      1.333823376349e+02
-7.173586793397e+01      1.793810457636e+02
-3.571785892946e+01      1.416400920966e+02
1.500750375188e+00      1.377809241187e+02
3.871935967984e+01      1.572748377502e+02
7.353676838419e+01      2.077668482170e+02
9.394697348674e+01      1.770033023287e+02
1.155577788894e+02      2.064092961862e+02
1.575787893947e+02      1.665720101302e+02
1.947973986993e+02      1.796323856947e+02
2.140070035018e+02      1.811719099639e+02
2.380190095048e+02      1.818113911133e+02
2.812406203102e+02      1.373183214904e+02
3.328664332166e+02      1.218014800827e+02
3.712856428214e+02      1.166164125384e+02
4.121060530265e+02      1.526189648964e+02
4.517258629315e+02      1.501954187097e+02
4.805402701351e+02      2.084490435280e+02
5.189594797399e+02      2.534432034375e+02
5.453726863432e+02      2.936416990361e+02
5.705852926463e+02      3.256322868706e+02
5.909954977489e+02      2.668127241812e+02
6.222111055528e+02      2.119188094145e+02
6.618309154577e+02      1.690511923388e+02
7.002501250625e+02      1.751729827878e+02
7.230615307654e+02      1.669499217736e+02
7.554777388694e+02      1.894794854443e+02
8.035017508754e+02      1.697313510330e+02
8.335167583792e+02      1.681644531135e+02
8.743371685843e+02      1.937797163474e+02
9.175587793897e+02      2.003322324931e+02
9.547773886943e+02      3.184194615999e+02
9.787893946973e+02      2.396527829647e+02
9.979989994997e+02      3.336541831245e+02
1.032816408204e+03      2.192268224577e+02
1.068834417209e+03      2.419860900554e+02
1.101250625313e+03      2.101604526308e+02
1.136068034017e+03      2.833838364541e+02
1.173286643322e+03      2.963244148559e+02
1.206903451726e+03      4.094114130310e+02
1.232116058029e+03      4.656918473996e+02
1.272936468234e+03      7.288733053282e+02
1.308954477239e+03      8.222993798651e+02
1.329364682341e+03      1.021067115852e+03
1.350975487744e+03      7.103634980276e+02
1.382191095548e+03      1.076259823866e+03
1.407403701851e+03      7.114731728446e+02
1.433816908454e+03      1.070176772970e+03
1.475837918959e+03      8.265720932787e+02
1.503451725863e+03      7.371088054716e+02
1.551475737869e+03      7.776143873641e+02
1.592296148074e+03      9.754909809312e+02
1.615107553777e+03      1.020356993719e+03
1.634317158579e+03      8.915617887142e+02
1.660730365183e+03      7.111538692598e+02
1.693146573287e+03      4.512446556101e+02
1.726763381691e+03      3.444961919100e+02
1.760380190095e+03      2.772600560378e+02
1.800000000000e+03      2.436541553154e+02
