==============================================
 Frequencies [cm^-1]     Coefficients [cm^-1]
==============================================
-5.687843921961e+02      1.022340144950e+02
-2.124062031016e+02      1.310330677767e+02
-1.928964482241e+02      7.958522450744e+01
-1.135567783892e+02      1.437991933932e+02
-9.274637318659e+01      1.535792718450e+02
-7.193596798399e+01      1.677190933645e+02
-3.551775887944e+01      1.468419304792e+02
2.201100550275e+00      1.310854320549e+02
3.991995997999e+01      1.650831144139e+02
7.503751875938e+01      2.011849849957e+02
9.454727363682e+01      1.834688298072e+02
1.166583291646e+02      2.007549251476e+02
1.582791395698e+02      1.631500626386e+02
1.946973486743e+02      1.825805596534e+02
2.142071035518e+02      1.705195051501e+02
2.376188094047e+02      1.889679265831e+02
2.792396198099e+02      1.242226565819e+02
3.403701850925e+02      1.076047387699e+02
3.741870935468e+02      1.159779183666e+02
4.132066033017e+02      1.417244791654e+02
4.522261130565e+02      1.633214451813e+02
4.808404202101e+02      1.921895774950e+02
5.185592796398e+02      2.696075351594e+02
5.458729364682e+02      2.693290015474e+02
5.705852926463e+02      3.524317982944e+02
5.913956978489e+02      2.376520919410e+02
6.226113056528e+02      2.246454479432e+02
6.616308154077e+02      1.528545258002e+02
7.006503251626e+02      1.939330015497e+02
7.227613806903e+02      1.421346622229e+02
7.552776388194e+02      1.976674010504e+02
8.047023511756e+02      1.562160377816e+02
8.333166583292e+02      1.787965279639e+02
8.788394197099e+02      1.941004044397e+02
9.217608804402e+02      2.069129767427e+02
9.555777888944e+02      2.955148515958e+02
9.789894947474e+02      2.811073350153e+02
9.984992496248e+02      3.051571610954e+02
1.036218109055e+03      2.533715547315e+02
1.076538269135e+03      2.302175494222e+02
1.111655827914e+03      2.524970398404e+02
1.149374687344e+03      2.717438708430e+02
1.184492246123e+03      3.444767151484e+02
1.215707853927e+03      3.893930429892e+02
1.240420210105e+03      5.234564771282e+02
1.283341670835e+03      7.809555867146e+02
1.308054027014e+03      5.427732710178e+02
1.328864432216e+03      1.191212312628e+03
1.371785892946e+03      1.106647196227e+03
1.406903451726e+03      8.883513637799e+02
1.429014507254e+03      9.885298168564e+02
1.473236618309e+03      9.594841293858e+02
1.496648324162e+03      4.158072839958e+02
1.522661330665e+03      6.666575669776e+02
1.553876938469e+03      6.221731444468e+02
1.591595797899e+03      1.038802144265e+03
1.615007503752e+03      9.365072087358e+02
1.634517258629e+03      9.614549818434e+02
1.660530265133e+03      6.836636195566e+02
1.696948474237e+03      4.854162809292e+02
1.732066033017e+03      3.133158193732e+02
1.767183591796e+03      2.786471783922e+02
1.802301150575e+03      2.087313289056e+02
1.836118059030e+03      1.971140649143e+02
1.869934967484e+03      1.601052005955e+02
1.903751875938e+03      1.562978863937e+02
1.937568784392e+03      1.335234262234e+02
1.971385692846e+03      1.248580893526e+02
2.000000000000e+03      1.048185445551e+02
