==============================================
 Frequencies [cm^-1]     Coefficients [cm^-1]
==============================================
8.008008008008e+01      1.516346581279e+02
9.809809809810e+01      5.535833528418e+01
1.261261261261e+02      1.522977698452e+02
1.901901901902e+02      1.732226009570e+02
2.142142142142e+02      8.726105424575e+01
2.322322322322e+02      1.683974338617e+02
2.642642642643e+02      1.005773126260e+02
3.823823823824e+02      1.139373914375e+02
4.164164164164e+02      1.213568528768e+02
4.544544544545e+02      1.612038233624e+02
4.824824824825e+02      1.759233408158e+02
5.205205205205e+02      2.706840985301e+02
5.465465465465e+02      2.348447282772e+02
5.705705705706e+02      3.538390137204e+02
5.925925925926e+02      2.239227108276e+02
6.246246246246e+02      2.202247264909e+02
6.626626626627e+02      1.386963086096e+02
7.007007007007e+02      1.967707061992e+02
7.227227227227e+02      1.261855005280e+02
7.547547547548e+02      2.004158474795e+02
8.028028028028e+02      1.441931052273e+02
8.308308308308e+02      1.872350725847e+02
8.808808808809e+02      2.062312660434e+02
9.289289289289e+02      2.203387951978e+02
9.609609609610e+02      3.088669366993e+02
9.789789789790e+02      2.473920738503e+02
1.005005005005e+03      3.342408924570e+02
1.045045045045e+03      1.953591973263e+02
1.073073073073e+03      2.266138154891e+02
1.101101101101e+03      1.923589805990e+02
1.135135135135e+03      2.837706270502e+02
1.173173173173e+03      2.989155662729e+02
1.207207207207e+03      4.124771068776e+02
1.233233233233e+03      4.686388407753e+02
1.273273273273e+03      7.202598238876e+02
1.309309309309e+03      8.486077771603e+02
1.329329329329e+03      9.717497585888e+02
1.351351351351e+03      7.866774140705e+02
1.383383383383e+03      1.039415621433e+03
1.407407407407e+03      7.635727010993e+02
1.435435435435e+03      1.048200990662e+03
1.475475475475e+03      7.989484428205e+02
1.503503503504e+03      7.632101711474e+02
1.553553553554e+03      7.926234703639e+02
1.593593593594e+03      9.636855958331e+02
1.615615615616e+03      1.044701401339e+03
1.635635635636e+03      8.613704806785e+02
1.661661661662e+03      7.082189023924e+02
1.693693693694e+03      4.333885230043e+02
1.727727727728e+03      3.590909840994e+02
1.761761761762e+03      2.510192605087e+02
1.795795795796e+03      2.389726229522e+02
1.829829829830e+03      1.808570852097e+02
1.863863863864e+03      1.820103033430e+02
1.897897897898e+03      1.432464415547e+02
1.931931931932e+03      1.482316210655e+02
1.965965965966e+03      1.193518472578e+02
2.000000000000e+03      1.256807302123e+02
