    Frequencies          Coefficients
----------------------------------------
-4.958739684921e+02    2.112266778262e+01
-4.328582145536e+02    3.440343919670e+01
-3.898474618655e+02    4.124883834730e+01
-3.453363340835e+02    4.288922371806e+01
-2.598149537384e+02    3.349010601128e+01
-1.667916979245e+02    2.676185795847e+01
-6.926731682921e+01    2.740773369854e+01
2.675668917229e+01    2.831463825536e+01
1.152788197049e+02    3.376636496914e+01
2.033008252063e+02    4.437922298944e+01
2.878219554889e+02    6.880215591212e+01
3.568392098025e+02    9.809410963160e+01
3.958489622406e+02    1.055309278255e+02
4.443610902726e+02    9.688527468662e+01
5.153788447112e+02    5.673622775720e+01
5.968992248062e+02    3.605908091517e+01
6.829207301825e+02    2.509742242841e+01
7.669417354339e+02    1.880058961734e+01
8.519629907477e+02    1.525395521334e+01
9.359839959990e+02    1.236607679672e+01
