    Frequencies          Coefficients
----------------------------------------
-3.608402100525e+02    1.527272394735e+01
-2.858214553638e+02    2.150093321738e+01
-2.268067016754e+02    5.299099656096e+01
-1.837959489872e+02    5.213953714188e+01
-1.342835708927e+02    6.667229003493e+01
-3.875968992248e+01    5.811603435590e+01
6.576644161040e+01    6.862823415480e+01
1.482870717679e+02    8.965222728496e+01
1.897974493623e+02    8.707207418766e+01
2.358089522381e+02    8.106965349946e+01
3.058264566142e+02    4.559650578308e+01
3.853463365841e+02    2.647228002279e+01
4.698674668667e+02    1.848661196238e+01
5.533883470868e+02    1.263795301739e+01
6.389097274319e+02    1.072922282871e+01
