    Frequencies          Coefficients
----------------------------------------
-3.322661330665e+02    5.607778197352e+00
-2.290145072536e+02    1.050796393316e+01
-1.563781890945e+02    2.812630116578e+01
-1.065532766383e+02    3.137955005034e+01
-6.693346673337e+01    6.969545509738e+01
1.410705352676e+01    7.617905919358e+01
7.473736868434e+01    6.557656911564e+01
1.155577788894e+02    5.429114874128e+01
1.737868934467e+02    2.985119708893e+01
2.542271135568e+02    1.725176934820e+01
3.364682341171e+02    8.894565330223e+00
4.229114557279e+02    7.365194252826e+00
5.201600800400e+02    4.478757421185e+00
6.000000000000e+02    3.849166928623e+00
