    Frequencies          Coefficients
----------------------------------------
-3.148574287144e+02    1.876303175972e+00
-2.590295147574e+02    9.754019888191e+00
-2.026013006503e+02    3.767099201138e+00
-1.203601800900e+02    5.266248222729e+01
-3.931965982991e+01    7.016075594790e+01
-9.004502251126e-01    5.559034365679e+01
6.933466733367e+01    7.565112555344e+01
1.149574787394e+02    5.681667466771e+01
1.881940970485e+02    1.998713324088e+01
2.398199099550e+02    2.188037619425e+01
4.127063531766e+02    9.578934089698e+00
6.000000000000e+02    4.721307775927e+00
