    Frequencies          Coefficients
----------------------------------------
-3.388694347174e+02    5.103094074191e+00
-2.560280140070e+02    5.957034902524e+00
-1.785892946473e+02    2.104136295492e+01
-1.131565782891e+02    3.322109364527e+01
-6.153076538269e+01    6.421514012393e+01
-3.001500750375e-01    7.683867979243e+01
5.552776388194e+01    7.113938252367e+01
1.047523761881e+02    4.936412305725e+01
1.659829914957e+02    3.392823895522e+01
2.416208104052e+02    1.725624941115e+01
3.232616308154e+02    1.242561781227e+01
