    Frequencies          Coefficients
----------------------------------------
-3.743435858965e+02    4.442545737513e+01
-3.158289572393e+02    7.666553635085e+01
-2.393098274569e+02    8.095843027048e+01
-1.567891972993e+02    8.604138160672e+01
-5.926481620405e+01    9.582028785445e+01
4.876219054764e+01    1.128326570218e+02
1.552888222056e+02    1.308904295840e+02
2.378094523631e+02    1.540422631234e+02
3.158289572393e+02    2.068605753841e+02
3.743435858965e+02    2.016631323049e+02
4.343585896474e+02    2.088231393167e+02
5.018754688672e+02    1.377909177331e+02
5.753938484621e+02    1.121429796017e+02
6.639159789947e+02    7.556109719604e+01
7.494373593398e+02    5.906124590162e+01
8.334583645911e+02    4.308173419815e+01
9.189797449362e+02    3.932883941766e+01
1.003000750188e+03    2.825714833287e+01
1.087021755439e+03    2.888731141690e+01
1.171042760690e+03    2.016924310842e+01
1.255063765941e+03    2.266080957445e+01
1.339084771193e+03    1.494477773112e+01
1.423105776444e+03    1.855698257360e+01
1.507126781695e+03    1.127571162854e+01
1.591147786947e+03    1.567078126264e+01
