    Frequencies          Coefficients
----------------------------------------
-3.836918459230e+02    4.037583134549e+00
-2.706353176588e+02    2.025375133566e+01
-1.585792896448e+02    3.839497586431e+01
-5.852926463232e+01    9.324721311784e+01
-5.002501250625e-01    9.145188864159e+01
4.152076038019e+01    1.100126107813e+02
1.295647823912e+02    6.422717767640e+01
1.855927963982e+02    1.600358758391e+01
2.406203101551e+02    4.534537260520e+01
3.536768384192e+02    3.060712570641e+01
4.667333666833e+02    3.044955728609e+01
5.787893946973e+02    5.409581902944e+00
6.358179089545e+02    2.688106952090e+01
8.039019509755e+02    1.967845641837e+01
8.609304652326e+02    1.390777678676e+01
1.000000000000e+03    1.836651262137e+01
