    Frequencies          Coefficients
------------------------------------------
2.176088044022e+01    5.342435656339e+00
3.126563281641e+01    8.186303328551e+00
3.876938469235e+01    9.217474562489e+00
5.077538769385e+01    1.270559416156e+01
6.303151575788e+01    1.213968903142e+01
7.153576788394e+01    1.428204476753e+01
8.204102051026e+01    1.455500504208e+01
9.404702351176e+01    1.505204812759e+01
1.075537768884e+02    1.572677082850e+01
1.178089044522e+02    1.535422454505e+01
1.265632816408e+02    1.538886677800e+01
1.393196598299e+02    1.618363430484e+01
1.503251625813e+02    1.448894107533e+01
1.615807903952e+02    1.877816770623e+01
1.723361680840e+02    2.177657712199e+01
1.835917958979e+02    2.740866867864e+01
1.925962981491e+02    2.014854051050e+01
1.993496748374e+02    2.431300506826e+01
2.118559279640e+02    2.033280946602e+01
2.258629314657e+02    2.335243901149e+01
2.358679339670e+02    1.864664715517e+01
2.438719359680e+02    2.551500661300e+01
2.588794397199e+02    2.187292897448e+01
2.673836918459e+02    2.081684140581e+01
2.828914457229e+02    3.055700282469e+01
2.906453226613e+02    8.620505357012e+00
3.004002001001e+02    2.272475219048e+01
3.199099549775e+02    2.142190459678e+01
3.356678339170e+02    1.891245907146e+01
3.501750875438e+02    1.557515061191e+01
3.636818409205e+02    2.183878303446e+01
3.691845922961e+02    1.086440284123e+01
3.801900950475e+02    2.208993645132e+01
3.941970985493e+02    1.311335429348e+01
4.017008504252e+02    1.518392356887e+01
4.174587293647e+02    1.205819132805e+01
4.272136068034e+02    1.361125761601e+01
4.382191095548e+02    9.270071473166e+00
4.477238619310e+02    1.048269921339e+01
4.657328664332e+02    1.182002433582e+01
4.789894947474e+02    1.595776521885e+01
4.837418709355e+02    7.989846849647e+00
