==============================================
 Frequencies [cm^-1]     Coefficients [cm^-1]
==============================================
-3.494505623197e+02      2.013447308293e+00
-3.481668062779e+02      2.748316461592e+00
-3.456928443166e+02      3.516807941065e+00
-3.424443442820e+02      4.324911557400e+00
-3.377912782238e+02      5.046594074341e+00
-3.324959975715e+02      6.040945229907e+00
-3.262735320411e+02      7.406530871529e+00
-3.192200872446e+02      7.161840182534e+00
-3.104219879818e+02      7.892886013301e+00
-3.010034867840e+02      8.852310439968e+00
-2.905114087446e+02      1.281258725002e+01
-2.810382080821e+02      1.504188907763e+01
-2.688280902989e+02      1.337635722155e+01
-2.568298613795e+02      1.498368394999e+01
-2.426899984877e+02      1.740990914409e+01
-2.303786670574e+02      1.808836457600e+01
-2.146197275222e+02      1.696339553138e+01
-1.984016960784e+02      2.317735424954e+01
-1.845723793132e+02      2.606922952164e+01
-1.689616218810e+02      2.312066619638e+01
-1.511678014011e+02      1.951134695956e+01
-1.325868809130e+02      2.068719394891e+01
-1.150500300865e+02      2.451556474114e+01
-9.599632625784e+01      2.388664969033e+01
-7.705615469133e+01      2.874387923115e+01
-5.935092666869e+01      2.877379368897e+01
-4.013354230488e+01      2.934887352566e+01
-2.249322293992e+01      2.430246213596e+01
2.487871663919e+00      1.208980477612e+01
2.443392841826e+01      2.721666576233e+01
4.255104634678e+01      3.288437152296e+01
6.275166062691e+01      3.484047822342e+01
8.128797514583e+01      3.447616873658e+01
1.021641885412e+02      3.128925161090e+01
1.215114039468e+02      3.318884599557e+01
1.425216751245e+02      2.954816687469e+01
1.638586164106e+02      3.457067584235e+01
1.823757255176e+02      4.332498612653e+01
1.989504653790e+02      4.050416733470e+01
2.195113307564e+02      3.202492240297e+01
2.377995819833e+02      3.773355413429e+01
2.564401283392e+02      3.274323409172e+01
2.745551874594e+02      3.240331833677e+01
2.894555702846e+02      3.313927239510e+01
3.075816960930e+02      2.336606597480e+01
3.248958022224e+02      2.366689553079e+01
3.405558607005e+02      2.026554237344e+01
3.575976431933e+02      2.173713009217e+01
3.697792182007e+02      2.389167690581e+01
3.827108833952e+02      2.193598838795e+01
3.973919058383e+02      1.807814151265e+01
4.085740453464e+02      1.304472983531e+01
4.222820535659e+02      1.412090613495e+01
4.307673108880e+02      1.265586788353e+01
4.423451876701e+02      1.006716452150e+01
4.505792162731e+02      9.333965664393e+00
4.608370861614e+02      6.650715757987e+00
4.675064186614e+02      8.978043813645e+00
4.740030539439e+02      1.021365583144e+01
4.786116425625e+02      1.181509154610e+01
4.824283419041e+02      9.757875158226e+00
4.855896255549e+02      6.487661468931e+00
4.880489720248e+02      3.424873574221e+00
4.897204331612e+02      1.402942291044e+00
