-----------------------------------------
    Frequencies          Coefficients
-----------------------------------------
-3.804402201101e+02    7.977683388841e+00
-3.634317158579e+02    1.035164696523e+01
-3.264132066033e+02    1.099354437816e+01
-2.903951975988e+02    8.449293100251e+00
-2.823911955978e+02    1.671166602608e+01
-2.663831915958e+02    1.224224611830e+01
-2.578789394697e+02    1.411814611369e+01
-2.433716858429e+02    1.531435846190e+01
-2.358679339670e+02    1.530437972993e+01
-2.243621810905e+02    1.575425298516e+01
-2.113556778389e+02    1.571061092908e+01
-1.993496748374e+02    1.718125356214e+01
-1.923461730865e+02    1.975788101562e+01
-1.828414207104e+02    2.151330048488e+01
-1.718359179590e+02    2.013964146897e+01
-1.608304152076e+02    1.637410611731e+01
-1.488244122061e+02    1.580280831977e+01
-1.383191595798e+02    1.482886413621e+01
-1.248124062031e+02    2.077593263141e+01
-1.173086543272e+02    9.189542036003e+00
-1.078039019510e+02    2.246774305364e+01
-9.029514757379e+01    2.209851528803e+01
-7.928964482241e+01    1.827748648799e+01
-7.028514257129e+01    2.383539133739e+01
-5.877938969485e+01    2.264804166022e+01
-4.627313656828e+01    2.303034802250e+01
-3.526763381691e+01    2.225378313093e+01
-2.626313156578e+01    1.708769549710e+01
-1.775887943972e+01    1.637604424436e+01
1.775887943972e+01    1.641678336597e+01
2.676338169085e+01    1.960970616013e+01
3.576788394197e+01    2.380223385966e+01
4.677338669335e+01    2.583823587571e+01
5.927963981991e+01    2.605341403138e+01
7.028514257129e+01    2.715036698206e+01
7.978989494747e+01    2.457564475113e+01
9.079539769885e+01    2.471674963797e+01
1.043021510755e+02    2.560011203783e+01
1.173086543272e+02    2.590035639468e+01
1.248124062031e+02    2.063321446874e+01
1.378189094547e+02    2.439657249835e+01
1.488244122061e+02    1.961658838677e+01
1.613306653327e+02    2.767186914940e+01
1.723361680840e+02    2.694202414887e+01
1.833416708354e+02    3.762619660160e+01
1.923461730865e+02    2.184768007698e+01
1.993496748374e+02    3.389454062229e+01
2.113556778389e+02    2.232343109296e+01
2.243621810905e+02    2.950915881515e+01
2.358679339670e+02    2.368064536509e+01
2.438719359680e+02    3.092977220807e+01
2.588794397199e+02    2.480310060743e+01
2.673836918459e+02    2.577489859755e+01
2.828914457229e+02    3.334217895185e+01
2.908954477239e+02    1.844965954008e+01
3.004002001001e+02    1.987174478159e+01
3.109054527264e+02    1.936571786305e+01
3.264132066033e+02    2.218504619872e+01
3.359179589795e+02    1.489099655878e+01
3.499249624812e+02    1.978216567006e+01
3.634317158579e+02    1.948765367830e+01
3.689344672336e+02    1.937760414190e+01
3.804402201101e+02    2.213362908310e+01
3.944472236118e+02    1.659454700358e+01
4.019509754877e+02    1.352852960019e+01
4.174587293647e+02    1.394794180580e+01
4.274637318659e+02    1.311052010032e+01
4.384692346173e+02    1.211822715117e+01
4.479739869935e+02    7.834772900529e+00
4.654827413707e+02    1.107194836476e+01
4.789894947474e+02    1.849483930276e+01
4.834917458729e+02    6.050773060182e+00
