==============================================
 Frequencies [cm^-1]     Coefficients [cm^-1]
==============================================
4.966162427722e-01      8.683791090268e-01
1.566759209165e+00      2.043059898965e+00
3.245113741773e+00      3.471778896997e+00
5.528723073668e+00      5.058559438344e+00
8.412843420518e+00      6.727178265190e+00
1.189147483344e+01      8.411346040448e+00
1.595736640511e+01      1.005257325167e+01
2.060201521003e+01      1.160002358948e+01
2.581566773517e+01      1.301093645828e+01
3.158732293076e+01      1.425108896197e+01
3.790473648521e+01      1.529506696559e+01
4.475442626104e+01      1.612624750452e+01
5.212167896707e+01      1.673646675793e+01
5.999055820471e+01      1.712539193939e+01
6.834391406057e+01      1.729964346775e+01
7.716339444025e+01      1.727173039775e+01
8.642945835611e+01      1.705886971214e+01
9.612139139617e+01      1.668176040518e+01
1.062173236143e+02      1.616337787739e+01
1.166942500929e+02      1.552784457880e+01
1.275280544371e+02      1.479942062949e+01
1.386935354693e+02      1.400164476269e+01
1.501644373926e+02      1.315664264090e+01
1.619134837001e+02      1.228460740291e+01
1.739124150981e+02      1.140344692867e+01
1.861320317147e+02      1.052858418779e+01
1.985422398496e+02      9.672891320101e+00
2.111121035127e+02      8.846734709471e+00
2.238099009808e+02      8.058107012806e+00
2.366031865768e+02      7.312822536475e+00
2.494588578521e+02      6.614754103808e+00
2.623432283148e+02      5.966092210769e+00
2.752221058108e+02      5.367610436002e+00
2.880608766171e+02      4.818924423875e+00
3.008245952541e+02      4.318735031906e+00
3.134780799705e+02      3.865049236278e+00
3.259860137839e+02      3.455374999089e+00
3.383130508983e+02      3.086888456459e+00
3.504239282407e+02      2.756573473950e+00
3.622835817840e+02      2.461334856911e+00
3.738572672398e+02      2.198087344443e+00
3.851106846243e+02      1.963823015999e+00
3.960101061122e+02      1.755659963383e+00
4.065225065141e+02      1.570875090775e+00
4.166156956295e+02      1.406923757640e+00
4.262584516502e+02      1.261448721130e+00
4.354206547205e+02      1.132280501545e+00
4.440734196968e+02      1.017430909114e+00
4.521892270982e+02      9.150810393774e-01
4.597420512068e+02      8.235645525493e-01
4.667074842557e+02      7.413464495736e-01
4.730628556611e+02      6.669967290245e-01
4.787873453252e+02      5.991570010944e-01
4.838620902302e+02      5.364957677367e-01
4.882702841005e+02      4.776432212121e-01
4.919972716633e+02      4.210851637444e-01
4.950306459712e+02      3.649659040369e-01
4.973603935744e+02      3.066578790674e-01
4.989794341462e+02      2.416243246151e-01
4.998908770467e+02      1.615540903071e-01
