==============================================
 Frequencies [cm^-1]     Coefficients [cm^-1]
==============================================
-2.992292771775e+02      6.665339258423e-01
-2.978887503233e+02      9.344148324008e-01
-2.955929991068e+02      1.196140952914e+00
-2.922977944047e+02      1.446855746263e+00
-2.880119130296e+02      1.705414930985e+00
-2.827516264652e+02      1.985966829076e+00
-2.765375099590e+02      2.300904438641e+00
-2.693939016047e+02      2.662731814349e+00
-2.613486529660e+02      3.085205652630e+00
-2.524329250264e+02      3.584227811870e+00
-2.426809882111e+02      4.178693870048e+00
-2.321300195956e+02      4.891399620660e+00
-2.208198987992e+02      5.750067662239e+00
-2.087930070629e+02      6.788539106748e+00
-1.960940358614e+02      8.048165741612e+00
-1.827698133833e+02      9.579428661121e+00
-1.688691600871e+02      1.144379540126e+01
-1.544427892397e+02      1.371580318422e+01
-1.395432765349e+02      1.648531196040e+01
-1.242251378614e+02      1.985979086785e+01
-1.085450832071e+02      2.396635103752e+01
-9.256257437557e+01      2.895293637581e+01
-7.634094842036e+01      3.498742076535e+01
-5.994970685074e+01      4.225168134001e+01
-4.346956790433e+01      5.092253272596e+01
-2.700560553515e+01      6.110983429757e+01
-1.073499142593e+01      7.256813173907e+01
4.722335287410e+00      7.755181076704e+01
2.093948750435e+01      6.911013989513e+01
3.770858357068e+01      6.026897181808e+01
5.476936915446e+01      5.217056434125e+01
7.200687920126e+01      4.495328265044e+01
8.933993045717e+01      3.860858175126e+01
1.067006505308e+02      3.308063149100e+01
1.240275894160e+02      2.829607828334e+01
1.412627864816e+02      2.417644363563e+01
1.583503593504e+02      2.064419400866e+01
1.752357859897e+02      1.762590860495e+01
1.918655422342e+02      1.505390276926e+01
2.081869388420e+02      1.286695041361e+01
2.241480790928e+02      1.101045511830e+01
2.396978937902e+02      9.436279996721e+00
2.547862285253e+02      8.102371299381e+00
2.693639676253e+02      6.972265833572e+00
2.833831845249e+02      6.014543150553e+00
2.967973113449e+02      5.202263448045e+00
3.095613222540e+02      4.512417892023e+00
3.216319262584e+02      3.925407704282e+00
3.329677657129e+02      3.424560716124e+00
3.435296172584e+02      2.995688309368e+00
3.532805921837e+02      2.626681031768e+00
3.621863334858e+02      2.307136907612e+00
3.702152073087e+02      2.028011461551e+00
3.773384873023e+02      1.781270706945e+00
3.835305327991e+02      1.559513299708e+00
3.887689696673e+02      1.355494148555e+00
3.930349168984e+02      1.161396374077e+00
3.963135081175e+02      9.674785416066e-01
3.985970906702e+02      7.598435908746e-01
3.999310529330e+02      5.442323078647e-01
