==============================================
 Frequencies [cm^-1]     Coefficients [cm^-1]
==============================================
-5.000000000000e+02      3.473748437970e-01
-4.744872436218e+02      4.480195021099e-01
-4.574787393697e+02      3.976022529370e-01
-4.404702351176e+02      5.984670978569e-01
-4.234617308654e+02      6.534598656476e-01
-4.049524762381e+02      9.049158306789e-01
-3.884442221111e+02      9.202824131984e-01
-3.719359679840e+02      1.282996511782e+00
-3.554277138569e+02      1.378091841553e+00
-3.389194597299e+02      1.853162315139e+00
-3.224112056028e+02      2.035011570576e+00
-3.059029514757e+02      2.697793172996e+00
-2.893946973487e+02      2.964287767872e+00
-2.728864432216e+02      4.004257509499e+00
-2.558779389695e+02      4.054585047931e+00
-2.468734367184e+02      3.306580883507e+00
-2.378689344672e+02      5.027527461472e+00
-2.213606803402e+02      6.978763542549e+00
-2.053526763382e+02      7.818651815213e+00
-1.893446723362e+02      9.864246242377e+00
-1.728364182091e+02      1.165142723868e+01
-1.568284142071e+02      1.396706010594e+01
-1.408204102051e+02      1.668660905724e+01
-1.248124062031e+02      2.008174126525e+01
-1.088044022011e+02      2.397715031384e+01
-9.279639819910e+01      2.883858310130e+01
-7.678839419710e+01      3.439691568034e+01
-6.078039019510e+01      4.144075451071e+01
-4.477238619310e+01      4.900350740005e+01
-2.926463231616e+01      5.789277090740e+01
-1.375687843922e+01      6.822493888496e+01
2.501250625313e-01      7.202288801242e+01
1.375687843922e+01      6.915176768593e+01
2.926463231616e+01      6.309022488993e+01
4.527263631816e+01      5.485228203430e+01
6.128064032016e+01      4.723954187197e+01
7.678839419710e+01      4.081466020134e+01
9.279639819910e+01      3.630711266817e+01
1.088044022011e+02      3.087433842162e+01
1.248124062031e+02      2.743499373186e+01
1.413206603302e+02      2.351263151650e+01
1.573286643322e+02      2.015453285238e+01
1.733366683342e+02      1.764131889606e+01
1.898449224612e+02      1.534013170520e+01
2.058529264632e+02      1.300073728248e+01
2.223611805903e+02      1.160114715819e+01
2.383691845923e+02      9.531147898231e+00
2.548774387194e+02      8.845305951776e+00
2.708854427214e+02      6.809988506758e+00
2.873936968484e+02      7.043652474225e+00
3.039019509755e+02      3.158243841556e+00
3.124062031016e+02      5.292983425320e+00
3.214107053527e+02      2.721454180424e+00
3.384192096048e+02      4.585498974085e+00
3.554277138569e+02      3.077468346732e+00
3.719359679840e+02      3.205556231107e+00
3.884442221111e+02      2.292483399839e+00
4.049524762381e+02      2.373053917947e+00
4.214607303652e+02      1.674292951397e+00
4.379689844922e+02      1.779219025429e+00
4.544772386193e+02      1.189212024714e+00
4.709854927464e+02      1.370226388843e+00
4.874937468734e+02      6.799914394312e-01
5.000000000000e+02      1.019208837243e+00
