# coeff (real)    coeff (imag)    expon (real)    expon (imag)
6.085645419024e+04  2.959198988199e+05  3.027268423334e+01  -1.553294877468e+03
6.085645419020e+04  -2.959198988199e+05  3.027268423333e+01  1.553294877468e+03
3.024648902230e+02  -1.139242603295e+05  2.540735396012e+01  2.373828436302e+03
3.024648902219e+02  1.139242603295e+05  2.540735396012e+01  -2.373828436302e+03
-3.937420104143e+03  -8.147104466895e+04  2.824171666910e+01  1.299314134431e+03
-3.937420104151e+03  8.147104466895e+04  2.824171666910e+01  -1.299314134431e+03
-1.573064776168e+04  -6.905409506841e+04  6.543838005777e+01  4.113609367557e+02
-1.573064776168e+04  6.905409506841e+04  6.543838005777e+01  -4.113609367557e+02
-6.160910704270e+03  6.885676122739e+04  3.952932806419e+01  -1.686527223373e+03
-6.160910704257e+03  -6.885676122738e+04  3.952932806419e+01  1.686527223373e+03
-1.003256211689e+04  3.008641101785e+04  2.249992206517e+01  -5.681093836537e+02
-1.003256211689e+04  -3.008641101785e+04  2.249992206516e+01  5.681093836537e+02
-2.339906429382e+04  -2.067862630531e+04  3.292284734987e+01  1.395560960783e+03
-2.339906429382e+04  2.067862630530e+04  3.292284734987e+01  -1.395560960783e+03
