# coeff (real)    coeff (imag)    expon (real)    expon (imag)
3.032053436256e+05  -7.424015639041e+04  3.089913799516e+01  -1.554133609691e+03
3.032053436256e+05  7.424015639045e+04  3.089913799516e+01  1.554133609691e+03
1.170560997673e+05  -9.782800627833e+02  2.609662001534e+01  -2.373942357169e+03
1.170560997673e+05  9.782800627767e+02  2.609662001534e+01  2.373942357169e+03
1.045036781660e+05  2.130852132336e-09  1.395781696254e+01  6.610711447214e-13
8.369360717462e+04  -1.369634111327e+04  4.586311307653e+01  1.682049052318e+03
8.369360717459e+04  1.369634111326e+04  4.586311307653e+01  -1.682049052318e+03
7.255245974128e+04  1.566551424269e+03  2.593618842260e+01  -1.299510099727e+03
7.255245974127e+04  -1.566551424272e+03  2.593618842259e+01  1.299510099727e+03
6.620120855608e+04  -2.301173155314e+04  5.059303567099e+01  -4.324646211246e+02
6.620120855608e+04  2.301173155314e+04  5.059303567098e+01  4.324646211246e+02
4.962331071608e+04  -6.971410489220e+03  2.978601832377e+01  5.700246403929e+02
4.962331071608e+04  6.971410489217e+03  2.978601832377e+01  -5.700246403929e+02
2.159075942936e+04  9.281848161103e+03  2.712307205262e+01  -1.405562555085e+03
2.159075942935e+04  -9.281848161104e+03  2.712307205261e+01  1.405562555085e+03
