# coeff (real)    coeff (imag)    expon (real)    expon (imag)
4.391089096842e+04  -3.321824963498e+05  2.343399914706e+01  1.599615749631e+03
4.391089096840e+04  3.321824963497e+05  2.343399914705e+01  -1.599615749631e+03
-1.637206282079e+04  2.188045012317e+05  8.347463052730e+01  -1.345321704104e+03
-1.637206282078e+04  -2.188045012317e+05  8.347463052730e+01  1.345321704104e+03
6.568591637838e+03  9.987422612120e+04  4.216523496249e+01  -1.682428247051e+03
6.568591637809e+03  -9.987422612119e+04  4.216523496249e+01  1.682428247051e+03
-4.619865024400e+04  8.836897348235e+04  9.313193270766e+01  -3.810775827838e+02
-4.619865024400e+04  -8.836897348235e+04  9.313193270766e+01  3.810775827838e+02
6.345765273766e+03  7.155533950474e+04  2.338958810817e+01  -2.315745321214e+03
6.345765273757e+03  -7.155533950474e+04  2.338958810817e+01  2.315745321214e+03
-3.831024047425e+03  5.286928517317e+04  2.946365899402e+01  -2.385452106348e+03
-3.831024047425e+03  -5.286928517317e+04  2.946365899402e+01  2.385452106348e+03
