# coeff (real)    coeff (imag)    expon (real)    expon (imag)
3.335248798858e+05  -4.645583776908e+04  2.353212642054e+01  -1.599778578003e+03
3.335248798857e+05  4.645583776909e+04  2.353212642053e+01  1.599778578003e+03
2.324527733865e+05  -8.439728355971e-09  3.371672213959e+02  2.686432158319e-14
2.181976675305e+05  5.110496571623e+03  8.303864510091e+01  -1.350726690603e+03
2.181976675305e+05  -5.110496571682e+03  8.303864510091e+01  1.350726690603e+03
1.908824692353e+05  -1.270152736706e-08  1.368332648512e+01  -1.629407572628e-12
1.049893598101e+05  3.436556895416e+03  4.410641712423e+01  1.681481813377e+03
1.049893598101e+05  -3.436556895366e+03  4.410641712424e+01  -1.681481813377e+03
7.316988524404e+04  -8.785006150489e+03  2.384646837079e+01  -2.316619679716e+03
7.316988524404e+04  8.785006150500e+03  2.384646837079e+01  2.316619679716e+03
6.545646032973e+04  1.973460153663e+03  5.738593588855e+01  -4.387050650364e+02
6.545646032972e+04  -1.973460153672e+03  5.738593588855e+01  4.387050650364e+02
5.414900337892e+04  -6.676790620621e+03  3.017416981259e+01  2.384767330966e+03
5.414900337891e+04  6.676790620622e+03  3.017416981260e+01  -2.384767330966e+03
