    Frequencies          Coefficients
------------------------------------------
1.750875437719e+00    7.690061071369e+00
1.260630315158e+01    1.573551592196e+01
2.451225612806e+01    7.907561912895e+00
3.746873436718e+01    1.731574177187e+01
6.443221610805e+01    1.491027141358e+01
9.244622311156e+01    1.224953062176e+01
1.239619809905e+02    9.648571358240e+00
1.540770385193e+02    6.918127651238e+00
1.841920960480e+02    5.528371964375e+00
2.143071535768e+02    3.905207616236e+00
2.444222111056e+02    3.219622818263e+00
2.776888444222e+02    2.261867932040e+00
3.092046023012e+02    1.729062309788e+00
3.403701850925e+02    1.168175843527e+00
3.715357678839e+02    9.938522422826e-01
