    Frequencies          Coefficients
------------------------------------------
-1.546773386693e+02    6.257636614875e-01
-1.382691345673e+02    7.755507237729e-01
-1.214607303652e+02    1.354251718089e+00
-1.030515257629e+02    1.961081628415e+00
-8.704352176088e+01    2.793245606931e+00
-7.143571785893e+01    4.043902896816e+00
-5.582791395698e+01    6.067382929708e+00
-4.022011005503e+01    9.083635761753e+00
-2.461230615308e+01    1.475892615710e+01
-9.004502251126e+00    2.721622848292e+01
2.001000500250e-01    6.232659178353e+01
7.403701850925e+00    2.691144764709e+01
1.620810405203e+01    1.437898347521e+01
2.461230615308e+01    2.007930454082e+01
4.062031015508e+01    1.650694476596e+01
5.662831415708e+01    1.358379480291e+01
7.303651825913e+01    1.143489706725e+01
8.904452226113e+01    9.653501910223e+00
1.054527263632e+02    8.367650679543e+00
1.214607303652e+02    6.991492926371e+00
1.374687343672e+02    6.178266682241e+00
1.538769384692e+02    5.243692614795e+00
1.698849424712e+02    4.490240433336e+00
1.858929464732e+02    3.886632625173e+00
2.023011505753e+02    3.356368472601e+00
2.183091545773e+02    2.836349023487e+00
2.347173586793e+02    2.501836592549e+00
2.511255627814e+02    2.081448856030e+00
2.671335667834e+02    1.805437500815e+00
2.835417708854e+02    1.572571985784e+00
3.011505752876e+02    1.368613474896e+00
3.179589794897e+02    1.101117797734e+00
3.347673836918e+02    9.840443061909e-01
3.511755877939e+02    7.797293042354e-01
3.675837918959e+02    7.234852666401e-01
3.839919959980e+02    5.559872468961e-01
4.000000000000e+02    5.319766545589e-01
